id,raw_citation,raw_target,record_type,resolution_notes,resolution_reason,resolution_state,resolved_target,review_state,source_anchor,source_section,target_kind
ibc2018:cross-reference:7c6ef6f06427e83133825491,CHAPTER 1,1,internal_cross_reference,,preserved_resolved_target,resolved,1,provisional,"{""appendix"":null,""bbox"":[281.95,68.786,347.852,92.205],""chapter"":""1"",""line_id"":""poppler-line:fb27ef4915de52510bbd"",""observed_text_sha256"":""8ed906945500938a06129c30763f300efe9dc62f3ee84c7933f634c6c9cc3989"",""pdf_page"":28,""printed_page"":""1""}",504.4,chapter
ibc2018:cross-reference:149eeb64c16e27de9acfb0d3,Chapter 1,1,internal_cross_reference,,preserved_resolved_target,resolved,1,provisional,"{""appendix"":null,""bbox"":[74.376,160.652,571.641,176.563],""chapter"":""1"",""line_id"":""poppler-line:507ff3275a06c5ab337f"",""observed_text_sha256"":""699f6100e851dbdab71a156e366f362f575063669bf46ffb2166e4bbe9669019"",""pdf_page"":28,""printed_page"":""1""}",504.4,chapter
ibc2018:cross-reference:6d335bedce12ccb4dee03d57,Chapter 1,1,internal_cross_reference,,preserved_resolved_target,resolved,1,provisional,"{""appendix"":null,""bbox"":[74.376,170.609,572.488,186.52],""chapter"":""1"",""line_id"":""poppler-line:db02e87cfe3c9702db12"",""observed_text_sha256"":""c7e42264c7cedb9d5cfa0589c7de17c498c7cbcbc395f817dc1da2d2777574a1"",""pdf_page"":28,""printed_page"":""1""}",504.4,chapter
ibc2018:cross-reference:6a156b3cc5f05135c1abc97d,Sections 101,101,internal_cross_reference,,section_heading_prefix,resolved,101,provisional,"{""appendix"":null,""bbox"":[74.376,170.609,572.488,186.52],""chapter"":""1"",""line_id"":""poppler-line:db02e87cfe3c9702db12"",""observed_text_sha256"":""c7e42264c7cedb9d5cfa0589c7de17c498c7cbcbc395f817dc1da2d2777574a1"",""pdf_page"":28,""printed_page"":""1""}",504.4,section
ibc2018:cross-reference:d97841498d56e34a01d87981,Sections 103,103,internal_cross_reference,,section_heading_prefix,resolved,103,provisional,"{""appendix"":null,""bbox"":[74.376,170.609,572.488,186.52],""chapter"":""1"",""line_id"":""poppler-line:db02e87cfe3c9702db12"",""observed_text_sha256"":""c7e42264c7cedb9d5cfa0589c7de17c498c7cbcbc395f817dc1da2d2777574a1"",""pdf_page"":28,""printed_page"":""1""}",504.4,section
ibc2018:cross-reference:85396aec12039572a9af2d2d,Section 101,101,internal_cross_reference,,section_heading_prefix,resolved,101,provisional,"{""appendix"":null,""bbox"":[74.375,180.735,572.591,196.646],""chapter"":""1"",""line_id"":""poppler-line:3b83dbb91caba50481e9"",""observed_text_sha256"":""a12c0f6e3940b5c860977aabb540fb7b166a9b03b4b41bbf1cf7424e933a0431"",""pdf_page"":28,""printed_page"":""1""}",504.4,section
ibc2018:cross-reference:a5ced2d92fa9e1b82073b074,Section 102.4,102.4,internal_cross_reference,,preserved_resolved_target,resolved,102.4,provisional,"{""appendix"":null,""bbox"":[74.375,190.692,297.397,206.603],""chapter"":""1"",""line_id"":""poppler-line:635bc42cd14f76d80976"",""observed_text_sha256"":""15894526f7df4fff4618bb2a439a625cbbf862bc2ca90b93ffb17b543d8cef1a"",""pdf_page"":28,""printed_page"":""1""}",504.4,section
ibc2018:cross-reference:40d562284ef220b01c2f4c12,Chapter 1,1,internal_cross_reference,,preserved_resolved_target,resolved,1,provisional,"{""appendix"":null,""bbox"":[74.376,224.635,572.097,240.545],""chapter"":""1"",""line_id"":""poppler-line:16fff9acfaecdce25da2"",""observed_text_sha256"":""c3d2939da6a9fe2f20a6b9c629e6dd001df9cc3cc7f5ee3020c8027d508d9702"",""pdf_page"":28,""printed_page"":""1""}",504.4,chapter
ibc2018:cross-reference:3add082cec1f7e818149ec5c,SECTION 101,101,internal_cross_reference,,section_heading_prefix,resolved,101,provisional,"{""appendix"":null,""bbox"":[151.028,336.523,213.034,355.961],""chapter"":""1"",""line_id"":""poppler-line:73b5bd7afb4084fcefda"",""observed_text_sha256"":""da6203b7e9392807d1f9684eb0ee302b27f3cdc252fdd4f94c79dd0c650dd6a3"",""pdf_page"":28,""printed_page"":""1""}",504.4,section
ibc2018:cross-reference:44e95e2f1a60cbe6aae7e317,SECTION 102,102,internal_cross_reference,,section_heading_prefix,resolved,102,provisional,"{""appendix"":null,""bbox"":[131.011,183.28,194.568,202.718],""chapter"":""1"",""line_id"":""poppler-line:442603972442ff1c9592"",""observed_text_sha256"":""fd2977d9f70a79a4147a313e6ab3687d188e2f3d43cefaf622e2b20822fbcaf2"",""pdf_page"":29,""printed_page"":""2""}",101.4.7,section
ibc2018:cross-reference:b7fa59692636669ee57a889e,SECTION 103,103,internal_cross_reference,,section_heading_prefix,resolved,103,provisional,"{""appendix"":null,""bbox"":[397.053,237.063,460.549,256.501],""chapter"":""1"",""line_id"":""poppler-line:d86dbe31ad1ba2f16cb8"",""observed_text_sha256"":""0791a4bd5c37ce4046fa679fd6e92216059b4624f554a895000f6f0e1a9df70b"",""pdf_page"":29,""printed_page"":""2""}",102.6.2,section
ibc2018:cross-reference:a90fa33d46495fbe0a4f7a9a,SECTION 104,104,internal_cross_reference,,section_heading_prefix,resolved,104,provisional,"{""appendix"":null,""bbox"":[397.053,433.827,460.649,453.265],""chapter"":""1"",""line_id"":""poppler-line:f5c79e2f164a43ce5866"",""observed_text_sha256"":""5befc820b93e9343b384f8bfde0b8bbf6ec7e5f809cae9e1fc1d3d1851bec625"",""pdf_page"":29,""printed_page"":""2""}",103.3,section
ibc2018:cross-reference:91f30e92ab1fc90deacb7f1b,Section 101.4,101.4,internal_cross_reference,,preserved_resolved_target,resolved,101.4,provisional,"{""appendix"":null,""bbox"":[52.052,496.89,285.746,509.234],""chapter"":""1"",""line_id"":""poppler-line:0b748bc66ca39b70120c"",""observed_text_sha256"":""146297ead98572e2fb751e411bdb01d39a6e50df12f400ce4176bd4d7c1877f4"",""pdf_page"":29,""printed_page"":""2""}",102.4.2,section
ibc2018:cross-reference:e30e833b0d618a1e30d74788,Section 101.4,101.4,internal_cross_reference,,preserved_resolved_target,resolved,101.4,provisional,"{""appendix"":null,""bbox"":[52.053,518.857,286.187,531.201],""chapter"":""1"",""line_id"":""poppler-line:e780ed0026faff719800"",""observed_text_sha256"":""59d0d6408f24eb8f75d43f812eb01d305c1f92fab0f8b4846ab81ad953cfa476"",""pdf_page"":29,""printed_page"":""2""}",102.4.2,section
ibc2018:cross-reference:5ae79db1564d44a7a8de7803,Section 1612,1612,internal_cross_reference,,section_heading_prefix,resolved,1612,provisional,"{""appendix"":null,""bbox"":[72.006,119.464,137.12,131.808],""chapter"":""1"",""line_id"":""poppler-line:482fa2e0a026dd8c4992"",""observed_text_sha256"":""42970d1838bacb4ff8cdee26a3b5402af1d4752f920ff258e0ad1b7a88888574"",""pdf_page"":30,""printed_page"":""3""}",102.6.1,section
ibc2018:cross-reference:4a75d719c4bab86d302f05e4,Section 1612.3,1612.3,internal_cross_reference,,preserved_resolved_target,resolved,1612.3,provisional,"{""appendix"":null,""bbox"":[338.049,365.631,571.617,378.441],""chapter"":""1"",""line_id"":""poppler-line:f38af0ac4e8a14014561"",""observed_text_sha256"":""01366c5fe9cc6716c9cb8e0ca589135b1707ba2e281cb81d48f5b366095f1dfd"",""pdf_page"":30,""printed_page"":""3""}",104.10.1,section
ibc2018:cross-reference:c58555b309dd0065ad678209,Section 1612,1612,internal_cross_reference,,section_heading_prefix,resolved,1612,provisional,"{""appendix"":null,""bbox"":[362.01,424.902,483.241,437.245],""chapter"":""1"",""line_id"":""poppler-line:9444ad428b9a90bfd61b"",""observed_text_sha256"":""afcab7eff52a8e62664dc4f737bdbc8d0710c641fe2c781b06e04d16cd36fa39"",""pdf_page"":30,""printed_page"":""3""}",104.10.1,section
ibc2018:cross-reference:a437874c149a7d9309a716c2,SECTION 105,105,internal_cross_reference,,section_heading_prefix,resolved,105,provisional,"{""appendix"":null,""bbox"":[131.019,404.003,194.626,423.441],""chapter"":""1"",""line_id"":""poppler-line:06a1d4bbdd9822c62c00"",""observed_text_sha256"":""c75e483232e60f31abfa0f72a337ead8761bb5d05324d5a9dbf6df1d71d2d23f"",""pdf_page"":31,""printed_page"":""4""}",104.11.2,section
ibc2018:cross-reference:c418ca2f0b9c0dd5168075c6,Section 107,107,internal_cross_reference,,section_heading_prefix,resolved,107,provisional,"{""appendix"":null,""bbox"":[349.929,112.381,505.886,124.725],""chapter"":""1"",""line_id"":""poppler-line:57e11f3ac824f328c38f"",""observed_text_sha256"":""a719e9f41679b1b9f5a4996a04c2178f23295326d4c46a4c02c6b88f6fe6910b"",""pdf_page"":32,""printed_page"":""5""}",104.11,section
ibc2018:cross-reference:0d1bb6e1e399304e1f60820d,Chapter 9,9,internal_cross_reference,,preserved_resolved_target,resolved,9,provisional,"{""appendix"":null,""bbox"":[317.979,108.44,369.272,120.784],""chapter"":""1"",""line_id"":""poppler-line:2a78ba0556c1d659db19"",""observed_text_sha256"":""afdfc41e29dd0cea54a0a394a584f80410e168c847bcfeb0cfd962d1c0733c4c"",""pdf_page"":33,""printed_page"":""6""}",105.6,chapter
ibc2018:cross-reference:79431e41a9755983a7cf6df5,SECTION 106,106,internal_cross_reference,,section_heading_prefix,resolved,106,provisional,"{""appendix"":null,""bbox"":[131.018,124.737,194.665,144.176],""chapter"":""1"",""line_id"":""poppler-line:b6ef671c095feba20338"",""observed_text_sha256"":""464ad2430b6022349d092bd97853bd50dc00fa7532e5372931c25b7f2701ec7b"",""pdf_page"":33,""printed_page"":""6""}",105.7,section
ibc2018:cross-reference:405ee93f54ed6459571cfef0,Section 111,111,internal_cross_reference,,section_heading_prefix,resolved,111,provisional,"{""appendix"":null,""bbox"":[40.099,247.492,285.99,259.836],""chapter"":""1"",""line_id"":""poppler-line:d697429fefaf7e4a1695"",""observed_text_sha256"":""ecde32f068731c5ce2b0ae8d3f030ff50d1cd88316f02303d23db2dd11dd668e"",""pdf_page"":33,""printed_page"":""6""}",106.2,section
ibc2018:cross-reference:b51ece2186d093eb08abb3e4,Section 106.1,106.1,internal_cross_reference,,preserved_resolved_target,resolved,106.1,provisional,"{""appendix"":null,""bbox"":[40.098,258.503,285.803,270.847],""chapter"":""1"",""line_id"":""poppler-line:6bfbd463011cf79bd226"",""observed_text_sha256"":""72be53c3831f41b522f40dc96421f29a40db4f6d353b56d9b4eb0092b535be12"",""pdf_page"":33,""printed_page"":""6""}",106.2,section
ibc2018:cross-reference:3d914a66394c5cd971358fbb,SECTION 107,107,internal_cross_reference,,section_heading_prefix,resolved,107,provisional,"{""appendix"":null,""bbox"":[131.065,345.005,194.792,364.444],""chapter"":""1"",""line_id"":""poppler-line:6b1538b631c48896226e"",""observed_text_sha256"":""bc81549fbdb116527562ec9ce564311725e69357c5806ea58e73c9c753c3153e"",""pdf_page"":33,""printed_page"":""6""}",106.3,section
ibc2018:cross-reference:84118ab7a1da0d37c185b1a5,Sections 107.2,107.2,internal_cross_reference,,preserved_resolved_target,resolved,107.2,provisional,"{""appendix"":null,""bbox"":[40.099,570.572,286.029,583.382],""chapter"":""1"",""line_id"":""poppler-line:334f05dc868df4efb095"",""observed_text_sha256"":""593516e906edd1c08a47a7528de6b795daa63f7bd29d55fdf4fbb27ed7ac7af2"",""pdf_page"":33,""printed_page"":""6""}",107.2,section
ibc2018:cross-reference:965e2b978f8b59f7e89c61d9,Section 1612.3,1612.3,internal_cross_reference,,preserved_resolved_target,resolved,1612.3,provisional,"{""appendix"":null,""bbox"":[329.987,722.58,503.761,734.924],""chapter"":""1"",""line_id"":""poppler-line:c4c14a0cfb3db09828b3"",""observed_text_sha256"":""bfce28418232be4f2ce6b82e7b7f49f2b6d79a786ccbf8a502630cd8a79b8982"",""pdf_page"":33,""printed_page"":""6""}",107.2.6.1,section
ibc2018:cross-reference:9503f86ed890b9954419f6fb,Section 3112,3112,internal_cross_reference,,section_heading_prefix,resolved,3112,provisional,"{""appendix"":null,""bbox"":[71.95,125.329,300.683,137.673],""chapter"":""1"",""line_id"":""poppler-line:e8d504f9569f4da5149f"",""observed_text_sha256"":""271e6b66d3b966af2e32d297df1bc1e25d75127c3e775f010f79da9f26ed6f9b"",""pdf_page"":34,""printed_page"":""7""}",107.2.8,section
ibc2018:cross-reference:23a87f88f69d9b2bcf8f4d8e,SECTION 108,108,internal_cross_reference,,section_heading_prefix,resolved,108,provisional,"{""appendix"":null,""bbox"":[417.01,423.259,480.697,442.697],""chapter"":""1"",""line_id"":""poppler-line:7e6aeddd6335166ef826"",""observed_text_sha256"":""dd288b800b16743bc05cbec3f9840db6f03ea229459a3e2586379dd9bc80a640"",""pdf_page"":34,""printed_page"":""7""}",107.5,section
ibc2018:cross-reference:9cc40b35ae7051771fda8313,Section 3103,3103,internal_cross_reference,,section_heading_prefix,resolved,3103,provisional,"{""appendix"":null,""bbox"":[326.043,527.102,534.028,539.446],""chapter"":""1"",""line_id"":""poppler-line:b98e20eb9e296b58eb1f"",""observed_text_sha256"":""170169c9f235129896fe5becd046828dc421820bcc83f56f8e085ba4bde93261"",""pdf_page"":34,""printed_page"":""7""}",108.2,section
ibc2018:cross-reference:9ed11a2b493962c6822aa0a0,SECTION 109,109,internal_cross_reference,,section_heading_prefix,resolved,109,provisional,"{""appendix"":null,""bbox"":[417.01,688.47,480.677,707.908],""chapter"":""1"",""line_id"":""poppler-line:2dfa2346e38ec240748f"",""observed_text_sha256"":""9c5fa1ed2de8fc00213c103e0b952ba835975dae0387dd6c5b84486a00eec796"",""pdf_page"":34,""printed_page"":""7""}",108.4,section
ibc2018:cross-reference:8db915b192010fdf57cea38f,Section 1612.4,1612.4,internal_cross_reference,,preserved_resolved_target,resolved,1612.4,provisional,"{""appendix"":null,""bbox"":[317.932,281.756,551.874,294.1],""chapter"":""1"",""line_id"":""poppler-line:e79025cff313bfd655fa"",""observed_text_sha256"":""6b1c9ba7df3805b3281bbddfc53af8274f03fc01b4cf24d4dd859e0442475966"",""pdf_page"":35,""printed_page"":""8""}",110.3.3,section
ibc2018:cross-reference:70ded2fb5c2df8305d60f866,SECTION 110,110,internal_cross_reference,,section_heading_prefix,resolved,110,provisional,"{""appendix"":null,""bbox"":[131.072,462.656,194.741,482.094],""chapter"":""1"",""line_id"":""poppler-line:ffbb81b42d0d7ee7cd4d"",""observed_text_sha256"":""d5f68420d86fcef3b04daca18ac8a8454b919ae5f0aaead9d748968a5a3935c8"",""pdf_page"":35,""printed_page"":""8""}",109.6,section
ibc2018:cross-reference:8338476d0f4752bb5e9d1289,Section 1705.1,1705.1,internal_cross_reference,,preserved_resolved_target,resolved,1705.1,provisional,"{""appendix"":null,""bbox"":[329.938,576.736,497.76,589.08],""chapter"":""1"",""line_id"":""poppler-line:de6419d89b39a1f6cfcb"",""observed_text_sha256"":""a1b8617f9bfc17c7748d9c9f28e5d58ee77d4dc57ae24f75c824298736384de0"",""pdf_page"":35,""printed_page"":""8""}",110.3.6,section
ibc2018:cross-reference:4e2efb34709139478763d3f1,Chapter 13,13,internal_cross_reference,,preserved_resolved_target,resolved,13,provisional,"{""appendix"":null,""bbox"":[317.931,661.174,551.219,673.518],""chapter"":""1"",""line_id"":""poppler-line:63369aa9f0c5adf45bf7"",""observed_text_sha256"":""cabca6d8f9ac01e3141e33fc77d360ec4a77d8d8f5d6f647b86e4fc964ecf1c8"",""pdf_page"":35,""printed_page"":""8""}",110.3.8,chapter
ibc2018:cross-reference:6484f700a9f3281d24b2d47d,Sections 110.3,110.3,internal_cross_reference,,preserved_resolved_target,resolved,110.3,provisional,"{""appendix"":null,""bbox"":[317.986,731.557,551.827,743.901],""chapter"":""1"",""line_id"":""poppler-line:50139f650503a8f55b96"",""observed_text_sha256"":""b504e968032ffc50afda720a99dda90a4b67a064d9dad939f21534479a5d8882"",""pdf_page"":35,""printed_page"":""8""}",110.3.9,section
ibc2018:cross-reference:d9f0a92d31a4f18f0d546879,Chapter 17,17,internal_cross_reference,,preserved_resolved_target,resolved,17,provisional,"{""appendix"":null,""bbox"":[71.95,135.4,133.215,147.744],""chapter"":""1"",""line_id"":""poppler-line:88ba54f70e4a73410a20"",""observed_text_sha256"":""5209bc00b73d516ad8690ce512365902a85aadac956d2691b5e71fa40f2c974d"",""pdf_page"":36,""printed_page"":""9""}",110.3.10,chapter
ibc2018:cross-reference:bdbd9a49d77677bd476ddb15,Chapter 3,3,internal_cross_reference,,preserved_resolved_target,resolved,3,provisional,"{""appendix"":null,""bbox"":[356.031,241.584,430.839,253.928],""chapter"":""1"",""line_id"":""poppler-line:4a953d2e0ae54b6bf516"",""observed_text_sha256"":""d7980411555657fb8b5b9560f8ae2e8b64c910f72127bb317d3ec8dfbd96bd2f"",""pdf_page"":36,""printed_page"":""9""}",110.3.9,chapter
ibc2018:cross-reference:6943f9e912264c40cf843536,Chapter 6,6,internal_cross_reference,,preserved_resolved_target,resolved,6,provisional,"{""appendix"":null,""bbox"":[342.972,257.298,551.023,269.642],""chapter"":""1"",""line_id"":""poppler-line:3401b26869c8830f73bf"",""observed_text_sha256"":""e288464d56e689b2a050db81252d57c2b693f801ee047b16c376a4325e96dde6"",""pdf_page"":36,""printed_page"":""9""}",110.3.9,chapter
ibc2018:cross-reference:893d155744a45d176438207e,SECTION 111,111,internal_cross_reference,,section_heading_prefix,resolved,111,provisional,"{""appendix"":null,""bbox"":[151.023,494.085,213.01,513.523],""chapter"":""1"",""line_id"":""poppler-line:e202b240ba86555a4388"",""observed_text_sha256"":""956ec7c93cc8e0ca81cb7c6f89e9c05ee5ed115d2334f5e254389fa35c094fcd"",""pdf_page"":36,""printed_page"":""9""}",110.6,section
ibc2018:cross-reference:ec47c3f8bb0cd78ed9cf6b73,SECTION 112,112,internal_cross_reference,,section_heading_prefix,resolved,112,provisional,"{""appendix"":null,""bbox"":[417.008,504.653,480.547,524.092],""chapter"":""1"",""line_id"":""poppler-line:ce21b90a68843a471be6"",""observed_text_sha256"":""27b0d2e93806554924d0e1e5de944a42c9421cb4a3b674de916791e1c6e5ae04"",""pdf_page"":36,""printed_page"":""9""}",111.4,section
ibc2018:cross-reference:4ea2a642ecb4cdd94e23f20e,Section 101.4,101.4,internal_cross_reference,,preserved_resolved_target,resolved,101.4,provisional,"{""appendix"":null,""bbox"":[326.04,687.512,571.596,699.856],""chapter"":""1"",""line_id"":""poppler-line:f1096611eb6432d50c47"",""observed_text_sha256"":""ec9c843a87c495cdaaae3e7dcf730743930ed68b01727f260f0c69d76484ad88"",""pdf_page"":36,""printed_page"":""9""}",112.3,section
ibc2018:cross-reference:9a44bb170e7299f08a39a400,Section 112.1,112.1,internal_cross_reference,,preserved_resolved_target,resolved,112.1,provisional,"{""appendix"":null,""bbox"":[326.04,720.149,571.923,732.96],""chapter"":""1"",""line_id"":""poppler-line:dc8e60856f10b145a668"",""observed_text_sha256"":""5523ddc769200b9a08228176ce2ce74a5bd2d91c090ec6183cb2bbbd6aadd60a"",""pdf_page"":36,""printed_page"":""9""}",112.3,section
ibc2018:cross-reference:ee2e2a906514f3224c83f87f,SECTION 115,115,internal_cross_reference,,section_heading_prefix,resolved,115,provisional,"{""appendix"":null,""bbox"":[397.059,124.737,460.537,144.176],""chapter"":""1"",""line_id"":""poppler-line:d1a27b722657e7c0976b"",""observed_text_sha256"":""250b43156667a0f3c7c12c7e6aaf1f1fd607bf4914d0cb6d65d9c37f93a09b5f"",""pdf_page"":37,""printed_page"":""10""}",112.3,section
ibc2018:cross-reference:79b185e1260bf94e05b00845,SECTION 113,113,internal_cross_reference,,section_heading_prefix,resolved,113,provisional,"{""appendix"":null,""bbox"":[131.017,146.926,194.605,166.364],""chapter"":""1"",""line_id"":""poppler-line:e7bd9e4413ded8188035"",""observed_text_sha256"":""f181641214fbe7b7e0c758cfc45f743e7888a20b9e02b46e719a0efccd6d9388"",""pdf_page"":37,""printed_page"":""10""}",111.2,section
ibc2018:cross-reference:a13ee350cc725a6d052da995,SECTION 116,116,internal_cross_reference,,section_heading_prefix,resolved,116,provisional,"{""appendix"":null,""bbox"":[397.059,368.258,460.577,387.696],""chapter"":""1"",""line_id"":""poppler-line:de9290aab969829c610e"",""observed_text_sha256"":""7219072df327ca9e9ba7be5c1d1fada5013b693a7fc5056bd57c7b3a6e6c1c04"",""pdf_page"":37,""printed_page"":""10""}",115.3,section
ibc2018:cross-reference:9e41a50d245fe41545916c77,SECTION 114,114,internal_cross_reference,,section_target_not_indexed,unresolved,,provisional,"{""appendix"":null,""bbox"":[131.016,401.236,194.705,420.675],""chapter"":""1"",""line_id"":""poppler-line:82f8bbea3f54be8a00ae"",""observed_text_sha256"":""5a5932e77bd6768a756a690de413571700f481f0ea05ebe5cde261a9ae08e332"",""pdf_page"":37,""printed_page"":""10""}",113.3,section
ibc2018:cross-reference:3ef158f1378a9a93c9e5d421,CHAPTER 2,2,internal_cross_reference,,preserved_resolved_target,resolved,2,provisional,"{""appendix"":null,""bbox"":[281.95,68.786,349.454,92.205],""chapter"":""2"",""line_id"":""poppler-line:bb5fd45fdab5bf2ad1a2"",""observed_text_sha256"":""3dd550927b5a650000ee141e9fc454fccf9be43655cddb3b5469ec6ae37e46db"",""pdf_page"":40,""printed_page"":""13""}",504.4,chapter
ibc2018:cross-reference:448727c5d00d466279ecdef2,SECTION 201,201,internal_cross_reference,,section_heading_prefix,resolved,201,provisional,"{""appendix"":null,""bbox"":[151.05,237.295,213.075,256.733],""chapter"":""2"",""line_id"":""poppler-line:c5a73c3a4f649467d3b8"",""observed_text_sha256"":""b4d48fed0a76c67e9b1db493b205a8d45965b549ff5ed57ac0ee72be27430681"",""pdf_page"":40,""printed_page"":""13""}",116.5,section
ibc2018:cross-reference:9dddec8729c615d718d63b70,SECTION 202,202,internal_cross_reference,,section_target_not_indexed,unresolved,,provisional,"{""appendix"":null,""bbox"":[151.05,483.471,214.404,502.909],""chapter"":""2"",""line_id"":""poppler-line:d68b8c56156a16e2ee78"",""observed_text_sha256"":""c0ac5d456c5825e2816545278920e7d01af5ed754f9f83223e4a2c8beae9d290"",""pdf_page"":40,""printed_page"":""13""}",201.4,section
ibc2018:cross-reference:be9d1c0f7f5b9d2f3dc30064,Chapter 11,11,internal_cross_reference,,preserved_resolved_target,resolved,11,provisional,"{""appendix"":null,""bbox"":[60.027,632.023,213.032,644.367],""chapter"":""2"",""line_id"":""poppler-line:b0db76ee4876e20e091a"",""observed_text_sha256"":""c650679610ab950af28754f46be3fabcea465a845ac44e56c317bbed9c922bd0"",""pdf_page"":40,""printed_page"":""13""}",201.4,chapter
ibc2018:cross-reference:30a7d074c1fa58ac9a473d31,Chapter 11,11,internal_cross_reference,,preserved_resolved_target,resolved,11,provisional,"{""appendix"":null,""bbox"":[60.027,694.66,202.021,707.004],""chapter"":""2"",""line_id"":""poppler-line:84a28b55c8a5ad6ddd1a"",""observed_text_sha256"":""4dc9dce272ddf801ae2cf18073da5f9d645ff204ab23e2dde022e283ce2676dc"",""pdf_page"":40,""printed_page"":""13""}",201.4,chapter
ibc2018:cross-reference:2697a04b9127fadbd643095a,Chapter 17,17,internal_cross_reference,,preserved_resolved_target,resolved,17,provisional,"{""appendix"":null,""bbox"":[305.977,352.131,494.431,364.941],""chapter"":""2"",""line_id"":""poppler-line:c8d268ba77727262b4d7"",""observed_text_sha256"":""dcac0330197b186f3b0ee139700312a533fa351304c796ccce238b966fe43293"",""pdf_page"":41,""printed_page"":""14""}",116.4,chapter
ibc2018:cross-reference:783ff5bbb20ef7fffceda11c,Section 1612,1612,internal_cross_reference,,section_heading_prefix,resolved,1612,provisional,"{""appendix"":null,""bbox"":[326.078,506.518,460.303,518.861],""chapter"":""2"",""line_id"":""poppler-line:d53fc32c982efa504d7d"",""observed_text_sha256"":""e8a85a7c9b7fd9d1860bb627892ae497d875158719312eee8a1de534519bfd56"",""pdf_page"":42,""printed_page"":""15""}",35.4,section
ibc2018:cross-reference:70f88a14ff2812f0a601db3b,Section 1612,1612,internal_cross_reference,,section_heading_prefix,resolved,1612,provisional,"{""appendix"":null,""bbox"":[326.078,542.484,571.734,554.828],""chapter"":""2"",""line_id"":""poppler-line:d9bd2bcbda74859fe3f8"",""observed_text_sha256"":""cd3c3f32470f6feb5982e8b4cf7d3c580839eef6d807db2d8ab39d627594c09a"",""pdf_page"":42,""printed_page"":""15""}",35.4,section
ibc2018:cross-reference:108d5a4525c3daaeab66b9ad,Table 601,601,internal_cross_reference,,preserved_resolved_target,resolved,601,provisional,"{""appendix"":null,""bbox"":[40.049,446.702,286.048,459.046],""chapter"":""2"",""line_id"":""poppler-line:c267b1d87486297f9458"",""observed_text_sha256"":""9ce75c2eb49cc738f661eca3397027641c2872f801c479bb672ca71652be623c"",""pdf_page"":43,""printed_page"":""16""}",1.22,table
ibc2018:cross-reference:ee8d9be88333ff9db9eb16ce,Section 407.4,407.4,internal_cross_reference,,preserved_resolved_target,resolved,407.4,provisional,"{""appendix"":null,""bbox"":[306.031,566.167,435.975,578.511],""chapter"":""2"",""line_id"":""poppler-line:fc691a3a287d1da640e6"",""observed_text_sha256"":""878751cd89594383983d10f8d05232590089bf4a7457492efc584ed2426fd25e"",""pdf_page"":43,""printed_page"":""16""}",35.4,section
ibc2018:cross-reference:c485848241c539192cac3950,Section 2113.11,2113.11,internal_cross_reference,,preserved_resolved_target,resolved,2113.11,provisional,"{""appendix"":null,""bbox"":[338.009,86.286,459.461,98.63],""chapter"":""2"",""line_id"":""poppler-line:3c91d80dbcb1147115b2"",""observed_text_sha256"":""53d0fc21ace4115704ddfe393b47c9babeb1c35516edbe65cdeefc7d17c8848b"",""pdf_page"":44,""printed_page"":""17""}",35.4,section
ibc2018:cross-reference:59cbdee3daaba9d07d554c9b,Section 2113.11,2113.11,internal_cross_reference,,preserved_resolved_target,resolved,2113.11,provisional,"{""appendix"":null,""bbox"":[338.011,255.328,477.614,267.672],""chapter"":""2"",""line_id"":""poppler-line:ba7d7f99426cc6f47f77"",""observed_text_sha256"":""260b563f72dcc77cb8542553923c8ebe6779a593fb41867f51fc7b3c6a1820ea"",""pdf_page"":44,""printed_page"":""17""}",35.4,section
ibc2018:cross-reference:be1e6b9939e3d612f0c56e54,Chapters 3,3,internal_cross_reference,,preserved_resolved_target,resolved,3,provisional,"{""appendix"":null,""bbox"":[326.004,336.889,571.931,349.233],""chapter"":""2"",""line_id"":""poppler-line:e0b37a9ed0821a2c977c"",""observed_text_sha256"":""3f1357dd0d6b91340133828134fa27390018ab6faead8707723af5d0aaf839c9"",""pdf_page"":44,""printed_page"":""17""}",35.4,chapter
ibc2018:cross-reference:35b9e2b063ea486a23a9b311,Section 602,602,internal_cross_reference,,section_heading_prefix,resolved,602,provisional,"{""appendix"":null,""bbox"":[59.949,178.429,271.133,196.1],""chapter"":""2"",""line_id"":""poppler-line:228b72a39b1fe984f8c3"",""observed_text_sha256"":""69c46fb7128647aa3183846ee7dc30d3a55dbb231b3adddcd535b3ffc062949d"",""pdf_page"":46,""printed_page"":""19""}",1.22,section
ibc2018:cross-reference:f182b39e260e1f0e619f7121,Section 602.2,602.2,internal_cross_reference,,preserved_resolved_target,resolved,602.2,provisional,"{""appendix"":null,""bbox"":[71.957,193.314,178.75,210.984],""chapter"":""2"",""line_id"":""poppler-line:4ee5c6ffc52b2d430e22"",""observed_text_sha256"":""408be1d5142f5c19f96301b5bb5f6caa4d540c25aed17a14414581d2d5670d15"",""pdf_page"":46,""printed_page"":""19""}",1.22,section
